course,number,title,due,points,type,pdf
PSY 240,1,Applied Cognition Note 1: Attention Audit,"Tuesday, September 1 at 11:59 PM",15,500-700 word analysis,PSY240/01_Applied_Cognition_Note_1_Attention_Audit.pdf
PSY 240,2,Laboratory Brief 1: Visual Search,"Thursday, September 10 at 11:59 PM",55,Individual laboratory brief,PSY240/02_Laboratory_Brief_1_Visual_Search.pdf
PSY 240,3,Applied Cognition Note 2: Change Blindness,"Tuesday, September 15 at 11:59 PM",15,500-700 word analysis,PSY240/03_Applied_Cognition_Note_2_Change_Blindness.pdf
PSY 240,4,Applied Cognition Note 3: Working-Memory Load,"Tuesday, September 29 at 11:59 PM",15,500-700 word analysis,PSY240/04_Applied_Cognition_Note_3_Working_Memory_Load.pdf
PSY 240,5,Laboratory Brief 2: Serial Position,"Thursday, October 8 at 11:59 PM",55,Individual laboratory brief,PSY240/05_Laboratory_Brief_2_Serial_Position.pdf
PSY 240,6,Midterm Examination,"Thursday, October 15 at 10:00 AM",180,75-minute in-class examination,PSY240/06_Midterm_Examination.pdf
PSY 240,7,Applied Cognition Note 4: Retrieval Practice,"Tuesday, October 20 at 11:59 PM",15,500-700 word analysis,PSY240/07_Applied_Cognition_Note_4_Retrieval_Practice.pdf
PSY 240,8,Proposal Milestone 1: Question and Sources,"Thursday, October 29 at 11:59 PM",25,Replication project milestone,PSY240/08_Proposal_Milestone_1_Question_and_Sources.pdf
PSY 240,9,Applied Cognition Note 5: Language Framing,"Tuesday, November 3 at 11:59 PM",15,500-700 word analysis,PSY240/09_Applied_Cognition_Note_5_Language_Framing.pdf
PSY 240,10,Laboratory Brief 3: Category Learning,"Thursday, November 5 at 11:59 PM",55,Individual laboratory brief,PSY240/10_Laboratory_Brief_3_Category_Learning.pdf
PSY 240,11,Proposal Milestone 2: Evidence Table,"Thursday, November 12 at 11:59 PM",50,Replication project milestone,PSY240/11_Proposal_Milestone_2_Evidence_Table.pdf
PSY 240,12,Applied Cognition Note 6: Heuristics Diary,"Tuesday, November 17 at 11:59 PM",15,500-700 word analysis,PSY240/12_Applied_Cognition_Note_6_Heuristics_Diary.pdf
PSY 240,13,Proposal Milestone 3: Methods Sketch,"Thursday, November 19 at 11:59 PM",50,Replication project milestone,PSY240/13_Proposal_Milestone_3_Methods_Sketch.pdf
PSY 240,14,Peer Review of Replication Proposal,"Tuesday, November 24 at 11:59 PM",25,Structured peer review,PSY240/14_Peer_Review_of_Replication_Proposal.pdf
PSY 240,15,Applied Cognition Note 7: Metacognition,"Tuesday, December 1 at 11:59 PM",15,500-700 word analysis,PSY240/15_Applied_Cognition_Note_7_Metacognition.pdf
PSY 240,16,Laboratory Brief 4: Decision Framing,"Thursday, December 3 at 11:59 PM",55,Individual laboratory brief,PSY240/16_Laboratory_Brief_4_Decision_Framing.pdf
